Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille ;libelle sous famille;collection;modele;matiere;couleur;divers;photo;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;31;0;9001097356149;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;32;0;9001097356156;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;33;0;9001097356163;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;34;0;9001097356170;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;16;0;9001097356187;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;17;0;9001097356194;;15.00;15.00;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;34;0;9001007148017;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;35;0;9001007148024;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;36;0;9001007148031;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;36D;0;9001007148048;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;37;0;9001007148055;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;38;0;9001007148062;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;38D;0;9001007148079;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;39;0;9001007148086;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;40;0;9001007148093;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;40D;0;9001007148109;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;41;0;9001007148116;;27.99;27.99;1;20
CINEX;COOL;001007148;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E19;ORIGINAL;;BLACK;;;42;0;9001007148123;;27.99;27.99;1;20
