Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XXXL;0;9005044254168;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044258;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;MARRON;VERT;;;;;;;0;0;9005044258012;;59.99;59.99;1;20;20230117;20230217
BANDIT;banditas;005044258;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;MARRON;VERT;;;;;;;1;0;9005044258029;;59.99;59.99;1;20;20230117;20230217
BANDIT;banditas;005044258;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;MARRON;VERT;;;;;;;2;2;9005044258036;;59.99;59.99;1;20;20230117;20230217
BANDIT;banditas;005044258;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;MARRON;VERT;;;;;;;3;0;9005044258043;;59.99;59.99;1;20;20230117;20230217
BANDIT;banditas;005044258;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;MARRON;VERT;;;;;;;4;0;9005044258050;;59.99;59.99;1;20;20230117;20230217
BANDIT;banditas;005044258;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;MARRON;VERT;;;;;;;5;0;9005044258067;;59.99;59.99;1;20;20230117;20230217
BANDIT;banditas;005044257;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;OLIVE;MARINE;;;;;;;0;0;9005044257015;;59.99;59.99;1;20;20230117;20230215
BANDIT;banditas;005044257;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;OLIVE;MARINE;;;;;;;1;1;9005044257022;;59.99;59.99;1;20;20230117;20230215
BANDIT;banditas;005044257;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;OLIVE;MARINE;;;;;;;2;1;9005044257039;;59.99;59.99;1;20;20230117;20230215
BANDIT;banditas;005044257;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;OLIVE;MARINE;;;;;;;3;0;9005044257046;;59.99;59.99;1;20;20230117;20230215
BANDIT;banditas;005044257;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;OLIVE;MARINE;;;;;;;4;0;9005044257053;;59.99;59.99;1;20;20230117;20230215
BANDIT;banditas;005044257;1;;2;FEMME;5;JUPE-ROBE FEMME;1;ROBES FEMME;E23;NATHALIE;OLIVE;MARINE;;;;;;;5;0;9005044257060;;59.99;59.99;1;20;20230117;20230215
BANDIT;banditas;005044928;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;MARINE;;;;;;;XS;0;9005044928014;;69.99;69.99;1;20;20230203;20230217
BANDIT;banditas;005044928;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;MARINE;;;;;;;S;1;9005044928021;;69.99;69.99;1;20;20230203;20230217
BANDIT;banditas;005044928;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;MARINE;;;;;;;M;1;9005044928038;;69.99;69.99;1;20;20230203;20230217
BANDIT;banditas;005044928;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;MARINE;;;;;;;L;1;9005044928045;;69.99;69.99;1;20;20230203;20230217
BANDIT;banditas;005044928;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;MARINE;;;;;;;XL;0;9005044928052;;69.99;69.99;1;20;20230203;20230217
BANDIT;banditas;005044928;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;MARINE;;;;;;;XXL;0;9005044928069;;69.99;69.99;1;20;20230203;20230217
BANDIT;banditas;005044929;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;NOIR;;;;;;;XS;0;9005044929011;;69.99;69.99;1;20;20230203;20230218
BANDIT;banditas;005044929;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;NOIR;;;;;;;S;1;9005044929028;;69.99;69.99;1;20;20230203;20230218
BANDIT;banditas;005044929;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;NOIR;;;;;;;M;0;9005044929035;;69.99;69.99;1;20;20230203;20230218
BANDIT;banditas;005044929;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;E23;PATRICE;RAYÉ;NOIR;;;;;;;L;1;9005044929042;;69.99;69.99;1;20;20230203;20230218
